,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,0,0,2,0,0,0,5,caught,2,v Pakistan,Gujranwala,180Dec089
2,0,2,2,0,0,0,5,caught,2,v New Zealand,Dunedin,10Mar090
3,36,51,39,5,0,92.3,6,caught,1,v New Zealand,Wellington,60Mar090
4,19,38,35,1,1,54.28,4,bowled,2,v England,Leeds,180Jul090
5,31,31,26,3,0,119.23,6,bowled,2,v England,Nottingham,200Jul090
6,36,0,22,3,2,163.63,5,bowled,1,v Sri Lanka,Nagpur,10Dec090
7,53,0,41,7,1,129.26,5,bowled,2,v Sri Lanka,Pune,50Dec090
8,30,0,29,1,2,103.44,5,caught,1,v Sri Lanka,Margao,80Dec090
9,0,0,0,0,0,0,0,0,2,v Bangladesh,Chandigarh,250Dec090
10,4,0,11,0,0,36.36,5,lbw,2,v Sri Lanka,Cuttack,280Dec090
11,53,0,70,2,0,75.71,4,lbw,2,v Sri Lanka,Kolkata,40Jan091
12,62,0,73,8,1,84.93,4,caught,2,v South Africa,Kolkata,100Nov091
13,4,0,8,0,0,50,4,caught,1,v South Africa,Gwalior,120Nov091
14,1,0,3,0,0,33.33,4,caught,1,v South Africa,New Delhi,140Nov091
15,36,79,65,3,0,55.38,4,caught,1,v Australia,Perth,80Dec091
16,57,111,107,3,0,53.27,4,caught,1,v Australia,Hobart,100Dec091
17,21,38,35,3,0,60,4,caught,1,v Australia,Adelaide,150Dec091
18,31,64,44,1,0,70.45,5,run out,1,v Australia,Sydney,140Jan092
19,4,12,10,0,0,40,4,caught,2,v Australia,Melbourne,180Jan092
20,69,116,100,3,0,69,4,caught,2,v Australia,Sydney,200Jan092
21,11,19,19,1,0,57.89,4,caught,2,v Australia,Brisbane,10Mar092
22,84,122,107,6,0,78.5,4,caught,1,v New Zealand,Dunedin,120Mar092
23,39,92,56,7,0,69.64,4,caught,1,v Zimbabwe,Harare,250Oct092
24,15,0,27,1,0,55.55,4,bowled,1,v South Africa,Cape Town,70Dec092
25,10,0,36,0,0,27.77,4,caught,1,v South Africa,Port Elizabeth,90Dec092
26,22,0,24,2,0,91.66,5,caught,2,v South Africa,Centurion,110Dec092
27,21,0,44,1,0,47.72,5,caught,1,v South Africa,Johannesburg,130Dec092
28,32,0,52,1,0,61.53,5,bowled,1,v South Africa,Bloemfontein,150Dec092
29,23,0,39,0,0,58.97,5,caught,2,v South Africa,Durban,170Dec092
30,21,0,38,3,0,55.26,3,caught,2,v South Africa,East London,190Dec092
31,82,116,81,6,1,101.23,5,not out,1,v England,Jaipur,180Jan093
32,1,9,5,0,0,20,5,lbw,2,v England,Chandigarh,210Jan093
33,3,7,6,0,0,50,4,caught,2,v England,Bengaluru,260Feb093
34,24,42,32,1,0,75,4,bowled,1,v England,Jamshedpur,10Mar093
35,5,7,6,1,0,83.33,5,bowled,2,v England,Gwalior,40Mar093
36,34,42,30,2,1,113.33,5,caught,2,v England,Gwalior,50Mar093
37,3,16,9,0,0,33.33,5,caught,1,v Zimbabwe,Faridabad,190Mar093
38,8,8,6,0,0,133.33,5,not out,2,v Zimbabwe,Guwahati,220Mar093
39,0,0,0,0,0,0,0,0,2,v Zimbabwe,Pune,250Mar093
40,21,0,39,1,0,53.84,5,caught,1,v Sri Lanka,Colombo (RPS),250Jul093
41,15,0,30,0,0,50,5,run out,2,v Sri Lanka,Colombo (RPS),120Aug093
42,25,0,39,1,0,64.1,5,caught,1,v Sri Lanka,Moratuwa,140Aug093
43,26,0,30,4,0,86.66,5,not out,2,v Sri Lanka,Kanpur,70Nov093
44,2,0,8,0,0,25,5,lbw,2,v West Indies,Ahmedabad,160Nov093
45,3,0,25,0,0,12,4,caught,1,v South Africa,Mohali,220Nov093
46,15,0,31,3,0,48.38,5,caught,1,v South Africa,Kolkata,240Nov093
47,28,0,43,2,0,65.11,5,not out,1,v West Indies,Kolkata,270Nov093
48,1,10,5,0,0,20,5,caught,1,v Sri Lanka,Rajkot,150Feb094
49,11,25,18,0,0,61.11,5,not out,2,v Sri Lanka,Hyderabad (Deccan),180Feb094
50,52,83,63,3,0,82.53,5,run out,1,v Sri Lanka,Jalandhar,200Feb094
51,15,22,19,1,0,78.94,5,caught,2,v New Zealand,Napier,250Mar094
52,82,69,49,15,2,167.34,2,caught,2,v New Zealand,Auckland,270Mar094
53,63,91,75,9,0,84,2,lbw,1,v New Zealand,Wellington,300Mar094
